"HealthDistrict","establishmentName","permitName","permitNumber","program","PermitType","status","RiskCategory","catering","commissary","smokingStatus","wasteWaterGrease","inspectionFrequency","ApplicationDate","OriginalIssueDate","PermitIssueDate","ExpirationDate","FacilityAddress","city","zip","FIPSCode","LocalityName"
"EHD - Prince William","Sheetz #205","Sheetz #205","JSUZ-6JPRHK","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","12/2/2005","12/6/2006","12/27/2007","12/30/2008","15315 Washington Street","Haymarket","20169","NULL","NULL"
"EHD - Prince William","Sheetz #205","Sheetz","JSUZ-544RQS","Food Establishment","Carry out only","Surrendered","4","","NULL","","","NULL","9/18/2002","8/21/2003","1/30/2004","11/19/2005","15315 Washington Street","Haymarket","20169","NULL","NULL"
"EHD - Prince William","Oeeshii Japanese Steak & Seafood Restaurant","Oeeshii Japanese Steak & Seafood Restaurant","AVEA-5TDPFT","Food Establishment","Restaurant","Surrendered","4","","NULL","Smoke Free","","NULL","11/17/2003","5/5/2004","10/24/2005","5/5/2006","10788 Sudley Manor Dr","Manassas","20109","NULL","NULL"
"EHD - Prince William","Akasaka Sushi & Steak","Akasaka Sushi & Steak","AJOS-6M2PMU","Food Establishment","Full Service Restaurant","Surrendered","1","NO","NO","Smoke Free","Grease Trap (Exterior)","12","2/15/2006","2/15/2006","3/1/2018","2/28/2019","10788 Sudley Manor Dr","Manassas","20109","NULL","NULL"
"EHD - Fairfax","Phu Hung Sandwich & Deli","Phu Hung Sandwich & Deli","AKCC-9L5PJ9","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Smoke Free","Grease Trap (Interior)","6","6/16/2014","6/20/2014","6/24/2014","12/31/2018","6757 Wilson Bv, #9","FALLS CHURCH","22044","NULL","NULL"
"EHD - Rappahannock","Marco’s Pizza","Marco's Pizza","DCOO-7GNQGC","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","7/17/2008","2/13/2009","2/23/2009","12/31/2010","10908 Courthouse Rd. #103","Fredericksburg","22408","NULL","NULL"
"EHD - Richmond","Byrd Park Tennis Courts & Concession","Byrd Park Tennis Courts & Concession","AGML-7FGH85","Food Establishment","Seasonal Fast Food Restaurant","Surrendered","2","","NULL","Outdoor","None","NULL","5/30/2008","6/11/2008","7/1/2009","6/30/2010","600 South Boulevard","Richmond","23220","NULL","NULL"
"EHD - Prince William","Katherine Las Delicias","Katherine Las Delicias","AJOS-6HBPFW","Food Establishment","Mobile food unit","Surrendered","3","","NULL","","","NULL","10/19/2005","11/14/2005","11/14/2005","11/14/2006","16010 Indus Dr","Woodbridge","22191","NULL","NULL"
"EHD - Peninsula","Awesome Cafe","Awesome Cafe","TJOR-6UFNPN","Food Establishment","Mobile Food Unit","Surrendered","2","","NULL","Non-Smoking","","NULL","10/5/2006","10/10/2006","12/12/2007","12/31/2008","103 Heatherwood Lane","Yorktown","23692","NULL","NULL"
"EHD - Prince William","Subway","Subway","JMFN-54XJ44","Food Establishment","Fast Food Restaurant/Caterer","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","4","9/18/2002","2/24/2003","3/1/2019","2/28/2023","14232 Smoketown Rd","Woodbridge","22192","NULL","NULL"
"EHD - Richmond","Da Lunch Box","Da Lunch Box","HMES-9HJK8K","Food Establishment","Mobile Food Unit","Surrendered","3","","NULL","Smoke Free","None","4","3/24/2014","4/1/2014","4/1/2014","6/30/2015","112 North 5th Street","Richmond","23222","NULL","NULL"
"EHD - Rappahannock","Starbucks (Giant Kiosk)","Starbucks (Giant Kiosk)","DCOO-746HHZ","Food Establishment","Fast Food Restaurant","Surrendered","1","","NULL","Non-Smoking","","NULL","6/14/2007","NULL","NULL","NULL","317 Worth Ave.","Stafford","22554","NULL","NULL"
"EHD - Richmond","Tortilleria Guadalupana II","Tortilleria Guadalupana II","#REF!","Food Establishment","Full Service Restaurant","Business Closed","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","4/4/2018","6/14/2018","6/14/2018","6/30/2019","6825 Midlothian Tnpk","Richmond","23225","NULL","NULL"
"EHD - Mount Rogers","195-Fee-Food-Greenside(CLOSED)","Greenside(CLOSED)","DVIS-93TT7Y","Food Establishment","Full Service Restaurant/Caterer","Surrendered","2","","NULL","Smoke Free","","6","1/10/2013","1/10/2013","1/1/2016","12/31/2016","200 Clubhouse Drive","Abingdon","24211","NULL","NULL"
"EHD - Mount Rogers","195-Fee-Food- Glenrochie County Club(CLOSED)","Glenrochie Country Club(CLOSED)","DVIS-7JRLBM","Food Establishment","Caterer","Surrendered","3","","NULL","Smoke Free","","4","9/23/2008","9/24/2008","1/1/2012","12/31/2012","200 Clubhouse Drive","Abingdon","24211","NULL","NULL"
"EHD - Richmond","Greyhound Lines - Food Service","Greyhound Lines - Food Service Division","#REF!","Food Establishment","Other Food Service","Permitted","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","1/1/2002","1/1/2002","7/5/2022","6/30/2023","2910 North Arthur Ashe Blvd","Richmond","23230","NULL","NULL"
"EHD - Mount Rogers","117-CLOSED-Fee-Food/Hotel-CASCADE MOUNTAIN INN AND CAFE","CASCADE MOUNTAIN INN AND CAFE","CEDS-62AKEU","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Non-Smoking","","NULL","5/26/2004","7/1/2004","4/20/2005","12/31/2006","P O 190","Fancy Gap","24328","NULL","NULL"
"EHD - Richmond","Chuckey’s Bodega","Chuckey's Bodega","#REF!","Food Establishment","Mobile Food Unit","Permitted","2","NO","NO","Smoke Free","Other","6","5/10/2019","6/18/2019","7/5/2022","6/30/2023","1306 Carlisle Ave","Richmond","23231","NULL","NULL"
"EHD - Richmond","Chuckey’s Bodega","Uncle L's Smoking BBQ","760-FD-5114","Food Establishment","","Permitted","3","NO","YES","Smoke Free","Other","4","1/27/2020","2/18/2020","3/9/2022","3/31/2023","1306 Carlisle Ave","Richmond","23231","NULL","NULL"
"EHD - Richmond","Four Brothers @ The Diamond","Four Brothers @ The Diamond","CJOS-B9SSDZ","Food Establishment","Seasonal Fast Food Restaurant","Business Closed","2","NO","NO","Smoke Free","Grease Trap (interior)","2","2/27/2019","NULL","3/22/2019","3/31/2020","3001 North Arthur Ashe Blvd","Richmond","23230","NULL","NULL"
"EHD - Richmond","Flying Squirrels","Flying Squirrels Lower Concessions #1 w/ Cotton Candy & Nacho's","HMES-83DJWD","Food Establishment","Seasonal Fast Food Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","3/9/2010","3/24/2010","5/4/2021","3/31/2023","3001 North Arthur Ashe Blvd","Richmond","23230","NULL","NULL"
"EHD - Richmond","Flying Squirrels","Tailgate Zone #7","AGML-95DLQD","Food Establishment","Seasonal Fast Food Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","2/27/2013","4/4/2013","5/4/2021","3/31/2023","3001 North Arthur Ashe Blvd","Richmond","23230","NULL","NULL"
"EHD - Richmond","Flying Squirrels","Flying Squirrels Upper Concessions #2 & Sausage Cart","HMES-83DK45","Food Establishment","Seasonal Fast Food Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","3/9/2010","3/24/2010","5/4/2021","3/31/2023","3001 North Arthur Ashe Blvd","Richmond","23230","NULL","NULL"
"EHD - Richmond","Flying Squirrels","Grand Slam Slider Cart","HMES-9UZKZ2","Food Establishment","Other Food Service","Business Closed","2","NO","YES","Smoke Free","Grease Trap (Exterior)","6","3/26/2015","3/30/2015","4/1/2019","3/31/2020","3001 North Arthur Ashe Blvd","Richmond","23230","NULL","NULL"
"EHD - Richmond","Flying Squirrels","Flying Squirrels Concessions Lower #2 w/ Dots#2, Nuts,Pizza Ice Cream, & Popcorn","HMES-83DK28","Food Establishment","Seasonal Fast Food Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","3/9/2010","3/24/2010","5/4/2021","3/31/2023","3001 North Arthur Ashe Blvd","Richmond","23230","NULL","NULL"
"EHD - Richmond","Flying Squirrels","Flying Squirrels Catering Kitchen/Commissary","HMES-83DJQ3","Food Establishment","Seasonal Full Service Restaurant","Permitted","2","NO","YES","Smoke Free","Grease Trap (Interior)","6","3/9/2010","3/24/2010","5/4/2021","3/31/2023","3001 North Arthur Ashe Blvd","Richmond","23230","NULL","NULL"
"EHD - Richmond","Flying Squirrels","Flying Squirrels Picnic Area & Italian Ice","AGML-86WM7H","Food Establishment","Seasonal Fast Food Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","6/29/2010","3/24/2010","5/4/2021","3/31/2023","3001 North Arthur Ashe Blvd","Richmond","23230","NULL","NULL"
"EHD - Richmond","Flying Squirrels","Flying Squirrels Upper Concessions #1& BBQ Cart","HMES-83DK4N","Food Establishment","Seasonal Fast Food Restaurant","Permitted","2","NO","NO","Smoke Free","Grease Trap (Exterior)","6","3/9/2010","3/24/2010","5/4/2021","3/31/2023","3001 North Arthur Ashe Blvd","Richmond","23230","NULL","NULL"
"EHD - Richmond","Emmaus United Methodist @ Stratford Hills","Emmaus United Methodist @ Stratford Hills","HMES-6UAQGT","Food Establishment","Other Food Service","Surrendered","2","","NULL","Smoke Free","None","NULL","6/25/2006","10/5/2006","10/1/2010","9/30/2011","7740 Cherokee Road","Richmond","23225","NULL","NULL"
"EHD - Richmond","VCU Health Systems Child Care @ N-Deck","VCU Health Systems Child Care @ N-Deck","SYOG-58G2E8","Food Establishment","Child Care Food Service","Permitted","4","NO","NO","Smoke Free","None","3","1/1/2002","1/1/2002","3/10/2022","3/31/2023","607 North 10th Street","Richmond","23298","NULL","NULL"
"EHD - Mount Rogers","Food-ON-THE-WAY #3373","ON-THE-WAY #3373","LCUP-5HSLXH","Food Establishment","Restaurant","Surrendered","2","","NULL","","","NULL","4/27/1995","4/27/1995","1/1/2006","12/31/2006","5522 Lee Hwy.","Atkins","24311","NULL","NULL"
"EHD - Mount Rogers","HOMETOWN PERKS - CLOSED","HOMETOWN PERKS","CEDS-5C7PHY","Food Establishment","Restaurant","Surrendered","3","","NULL","","","NULL","7/19/2002","1/1/2004","1/1/2004","12/31/2004","522 N MAIN ST","Hillsville","24343","NULL","NULL"
"EHD - Richmond","St. Paul’s Episcopal Church","St. Paul's Episcopal Church","#REF!","Food Establishment","Commissary","Permitted","2","YES","NO","Smoke Free","Grease Trap (Interior)","6","1/1/2002","1/1/2002","8/25/2022","9/30/2023","815 East Grace Street","Richmond","23219","NULL","NULL"
"EHD - Fairfax","Panjshir Restaurant","Panjshir Restaurant","SAFY-ASFJME","Food Establishment","Full Service Restaurant","Permitted","2","","NULL","Smoke Free","Grease Trap (Interior)","6","10/24/2017","10/24/2017","10/25/2017","12/31/2019","114E Fairfax Street","FALLS CHURCH","22046","NULL","NULL"
"EHD - Richmond","Farm Fresh Richmond","Farm Fresh Richmond","#REF!","Food Establishment","Grocery Store Food Service","Withdrawn","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","10/9/2018","11/27/2018","12/21/2021","12/31/2022","2320 E Main St","Richmond","23223","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-Janie Hammit Children’s Home","Janie Hammit Children's Home","DSIS-5B2JGW","Food Establishment","Group Home Food Service","Surrendered","4","","NULL","Smoke Free","","3","9/5/1990","1/1/2002","7/26/2011","12/31/2013","1225 Janie Hammit Drive","Bristol","24201","NULL","NULL"
"EHD - Prince William","Manhattan Bagel","Manhattan Bagel","JKOE-53KHV6","Food Establishment","Restaurant","Surrendered","4","","NULL","","","NULL","1/10/1996","1/15/2004","5/28/2004","3/28/2005","12436 Dillingham Sq","Woodbridge","22192","NULL","NULL"
"EHD - Alleghany-Roanoke","2032 Kenwood Boulevard SE","Grub On The Run","#REF!","Food Establishment","Mobile Food Unit","Out of Business","2","NO","NO","Exempt","None","6","5/29/2015","6/25/2015","7/1/2016","6/30/2017","2032 Kenwood Boulevard SE","Roanoke","24013","NULL","NULL"
"EHD - Richmond","Blue Fox Cafe","Blue Fox Cafe","AGML-6MHS9F","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","","","NULL","2/22/2006","3/2/2006","4/1/2007","3/31/2008","10 S. Thompson Street","Richmond","23220","NULL","NULL"
"EHD - Richmond","Flemings Prime Steakhouse & Wine Bar","Flemings Prime Steakhouse & Wine Bar","AGML-5T7K8C","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Non-Smoking","Grease Trap (Exterior)","NULL","9/5/2003","11/19/2003","1/1/2009","12/31/2009","9200 Stony Point Pkwy ##131","Richmond","23235","NULL","NULL"
"EHD - Mount Rogers","198-CLOSED-Fee-Food-Dayspring Fellowship Church Day Care (Rainbow Promise)","198-Fee-Food-Dayspring Fellowship Church Day Care","SBRS-6ZYKUE","Food Establishment","Child Care Food Service","Surrendered","2","","NULL","Smoke Free","","NULL","4/4/2007","4/5/2007","1/1/2009","12/31/2009","760 E. Main Street","Wytheville","24382","NULL","NULL"
"EHD - Peninsula","More Than Hot Dogs","More Than Hot Dogs","CPUT-5ARN3F","Food Establishment","Restaurant","Surrendered","3","","NULL","Non-Smoking","","NULL","5/24/2002","6/4/2002","6/4/2002","12/31/2003","285-24 Merrimac Tr.","Williamsburg","23185","NULL","NULL"
"EHD - Rappahannock","Faith Builders Christian Preschool","Faith Builders Christian Preschool","DCOO-7HELC9","Food Establishment","Child Care Food Service","Surrendered","1","","NULL","Non-Smoking","","NULL","8/11/2008","NULL","NULL","NULL","3602 Lafayette Blvd","Fredericksburg","22407","NULL","NULL"
"EHD - Richmond","Ruta 360 Restaurante & Bar","Ruta 360 Restaurante & Bar","HMES-8FTQ5Y","Food Establishment","Full Service Restaurant","Surrendered","2","","NULL","Smoke Free","Grease Trap (Interior)","6","3/24/2011","3/30/2011","4/1/2018","3/31/2019","5250 Hull Street Road","Richmond","23225","NULL","NULL"
"EHD - Arlington","Auntie Anne’s Pretzels(I)","Auntie Anne's Pretzels (South Pier)(INACTIVE)","OGAA-7MUKCB","Food Establishment","Other Food Service","Surrendered","2","","NULL","Smoke Free","","6","12/31/2008","12/31/2008","1/1/2015","12/31/2015","Ronald Regan National Airport-Terminal B-South Pier","Washington","20001","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-C J and Company Catering","C J and Company","STUR-95DR9U","Food Establishment","Caterer","Surrendered","1","","NULL","Smoke Free","","12","3/1/2013","9/2/2013","1/1/2015","12/31/2015","706 Piedmont Ave.","Bristol","24201","NULL","NULL"
"EHD - Mount Rogers","201-Fee-Food-C J and Company Catering","C J and Company Catering","STUR-AE3GD8","Food Establishment","Caterer","Surrendered","1","","NULL","Smoke Free","","12","9/19/2016","5/12/2017","1/1/2017","12/31/2017","706 Piedmont Ave.","Bristol","24201","NULL","NULL"
"EHD - Richmond","KLG Gamer Lounge","KLG Gamer Lounge","HMES-AF3RRU","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Smoke Free","Other","6","10/25/2016","11/8/2016","11/8/2016","12/31/2017","616 East Franklin Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Federal Coffee & Tea","Federal Coffee & Tea","HMES-8UXPYU","Food Establishment","Fast Food Restaurant","Surrendered","3","","NULL","Smoke Free","None","NULL","6/4/2012","NULL","NULL","NULL","616 East Franklin Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Wake Cafe’","Wake Cafe'","#REF!","Food Establishment","Full Service Restaurant","Business Closed","3","NO","NO","Smoke Free","Grease Trap (Interior)","4","2/4/2019","4/25/2019","6/3/2020","6/30/2021","616 East Franklin Street","Richmond","23219","NULL","NULL"
"EHD - Richmond","Children’s Hospital of Richmond","Children's Hospital of Richmond","#REF!","Food Establishment","Full Service Restaurant","Business Closed","2","NO","NO","Smoke Free","Grease Trap (Interior)","6","9/14/2017","2/7/2018","4/1/2019","3/31/2020","1000 East Broad Street","Richmond","23298","NULL","NULL"
"EHD - Richmond","Sanai’s Catering","Sanai's Catering","HMES-73EPX6","Food Establishment","Caterer","Surrendered","3","","NULL","Non-Smoking","Grease Trap (Interior)","NULL","3/29/2007","5/21/2007","7/1/2008","6/30/2009","322 East Grace Street","Richmond","23230-2304","NULL","NULL"
"EHD - Fairfax","Kiari’s Coffee","Kiari's Coffee","GNAN-74QGN8","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","Non-Smoking","","NULL","6/20/2007","6/20/2007","6/27/2007","12/31/2008","10380 Willard Way","Fairfax","22030","NULL","NULL"
"EHD - Fairfax","Tokyo Grill","Tokyo Grill","SAFY-8YFQR6","Food Establishment","Full Service Restaurant","Permitted","3","","NULL","Smoke Free","Grease Trap (Interior)","4","9/24/2012","10/2/2012","10/3/2012","12/31/2019","10380 Willard Way","Fairfax","22030","NULL","NULL"
"EHD - Fairfax","Kiari’s Cafe","Kiari's Cafe","MVVE-5CDTXJ","Food Establishment","Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","1/1/2002","NULL","NULL","NULL","10380 Willard Way","Fairfax","22030","NULL","NULL"
"EHD - Fairfax","Kiari’s Cafe","Kiari's Cafe","MVVE-5CE2U6","Food Establishment","Restaurant","Surrendered","2","","NULL","Smoke Free","","NULL","2/1/2001","2/1/2001","2/1/2001","12/31/2004","10380 Willard Way","Fairfax","22030","NULL","NULL"
"EHD - Fairfax","Kiari’s Cafe","Kiari's Cafe","MVVE-5CDVYH","Food Establishment","Restaurant","Surrendered","4","","NULL","Non-Smoking","","NULL","2/1/2001","2/1/2001","2/1/2001","1/31/2002","10380 Willard Way","Fairfax","22030","NULL","NULL"
"EHD - Fairfax","Kiari’s Cafe","Kiari's Cafe","GNAN-65HGFF","Food Establishment","Fast Food Restaurant","Surrendered","2","","NULL","","","NULL","10/5/2004","11/1/2004","11/5/2004","12/31/2007","10380 Willard Way","Fairfax","22030","NULL","NULL"
"EHD - Richmond","Sandy’s Resturant & Lounge","Sandy's Resturant & Lounge","HMES-6TKH2H","Food Establishment","Full Service Restaurant","Surrendered","3","","NULL","Restricted","Grease Trap (Interior)","NULL","8/9/2006","9/12/2006","7/1/2009","6/30/2010","2424 North Ave","Richmond","23222","NULL","NULL"
"EHD - Mount Rogers","Courtesy Ice Cream,CLOSED","Courtesy Ice Cream","DSIS-5EKJD2","Food Establishment","Restaurant","Surrendered","4","","NULL","","","NULL","1/2/2003","1/1/2003","1/1/2003","12/31/2003","317 Piedmont Avenue","Bristol","24201","NULL","NULL"
"EHD - Fairfax","Cajun Boil & Pho","Cajun Boil & Pho","SAFY-9V4QGY","Food Establishment","Full Service Restaurant","Permitted","2","","NULL","Smoke Free","Grease Trap (Interior)","6","3/30/2015","4/7/2015","5/4/2015","12/31/2019","6783 Wilson Bv","FALLS CHURCH","22044","NULL","NULL"
"EHD - New River","Due South BBQ LLC","Due South Bbq, Llc","CMOS-7AMTF2","Food Establishment","Convenience Store Food Service","Surrendered","4","","NULL","Non-Smoking","Grease Trap (Interior)","NULL","1/7/2008","2/12/2008","2/12/2008","2/28/2009","1700 W Main Street","Radford","24141","NULL","NULL"
"EHD - New River","Bucko’s Pantry","Bucko's Pantry","MVVE-56HSBE","Food Establishment","Restaurant","Surrendered","3","","NULL","","","NULL","1/1/2001","1/1/2001","3/31/2004","3/31/2005","1700 W Main Street","Radford","24141","NULL","NULL"
